topic_number,topic_mix,is_creative,name,sector
60,"0.104*""computer-security"" + 0.070*""information-security"" + 0.065*""network-security"" + 0.059*""ethical-hacker"" + 0.059*""web-security"" + 0.046*""software-security"" + 0.040*""web-application-security"" + 0.040*""cybersecurity"" + 0.040*""cloud-security"" + 0.033*""whitehat""",1,cybersecurity,software
61,"0.044*""programming-languages"" + 0.043*""sinatra-ruby-framework"" + 0.042*""software-libre"" + 0.042*""computer-programming"" + 0.031*""opensource"" + 0.031*""edtech"" + 0.029*""technology-professionals"" + 0.029*""gnu-linux"" + 0.029*""groovy"" + 0.022*""hacking""",1,programming_2,software
62,"0.085*""raspberry-pi"" + 0.075*""open-source-hardware"" + 0.066*""microcontroller"" + 0.057*""robotics"" + 0.051*""arduino"" + 0.050*""electronics"" + 0.046*""opensource"" + 0.037*""newtech"" + 0.032*""embedded-systems"" + 0.026*""makers""",1,open_source_hardware,design
63,"0.080*""bitcoin-security"" + 0.064*""how-to-invest-in-bitcoin"" + 0.052*""money"" + 0.048*""decentralization"" + 0.040*""how-to-safely-store-your-bitcoin"" + 0.039*""entrepreneurship"" + 0.035*""newtech"" + 0.024*""crypto-tokens-ethereum"" + 0.016*""technology-startups"" + 0.016*""technology-professionals""",,,
64,"0.069*""web"" + 0.055*""web-development"" + 0.050*""web-application-development"" + 0.037*""test-driven-development"" + 0.037*""softwaredev"" + 0.026*""entreprise"" + 0.026*""ui-ux"" + 0.025*""innovation"" + 0.025*""ionic-framework"" + 0.024*""lean-startup""",1,web_development_3,software
65,"0.063*""business-innovation"" + 0.045*""lean-ux"" + 0.042*""pymes"" + 0.034*""ui-ux-design"" + 0.034*""redes-de-contacto"" + 0.034*""sealliance"" + 0.033*""young-entrepreneur"" + 0.030*""entrepreneurship"" + 0.024*""ux-design"" + 0.022*""professional-networking""",,,
66,"0.067*""seo-search-engine-optimization"" + 0.059*""marketing-strategy"" + 0.030*""social-media-for-social-change"" + 0.025*""seo-for-small-businesses"" + 0.025*""seo-for-small-to-medium-sized-businesses"" + 0.015*""women-entrepreneurs"" + 0.015*""personal-development"" + 0.015*""entrepreneurship"" + 0.015*""smallbiz"" + 0.015*""emprendedores""",1,digital_marketing_2,advertising
67,"0.144*""internet-ecommerce"" + 0.109*""ecommerce-technology"" + 0.077*""ecommerce-marketing"" + 0.063*""internet-retail"" + 0.045*""building-an-online-business"" + 0.044*""startup-businesses"" + 0.039*""web"" + 0.026*""seo-search-engine-optimization"" + 0.025*""email-marketing-ecommerce"" + 0.021*""online-marketing""",1,ecommerce,advertising
68,"0.128*""edtech"" + 0.112*""newtech"" + 0.086*""learning"" + 0.065*""makerspaces"" + 0.063*""knowledge-sharing"" + 0.062*""makers"" + 0.054*""computer-programming"" + 0.051*""hacking"" + 0.050*""softwaredev"" + 0.034*""diy""",1,edtech,software
69,"0.055*""entrepreneurship"" + 0.039*""design-thinking"" + 0.025*""innovation"" + 0.023*""professional-networking"" + 0.021*""visual-thinking"" + 0.021*""social-innovation"" + 0.021*""makers"" + 0.020*""small-business-marketing-strategy"" + 0.016*""startup-businesses"" + 0.014*""seo-search-engine-optimization""",,,
70,"0.035*""entrepreneurship"" + 0.034*""google-technology-user-group"" + 0.030*""unreal-engine"" + 0.030*""group-coaching"" + 0.019*""nlp-coaching"" + 0.018*""business-strategy"" + 0.017*""small-business-marketing-strategy"" + 0.016*""google-apps"" + 0.016*""google-maps"" + 0.016*""google""",,,
71,"0.068*""hackers-and-makers"" + 0.034*""diy-technology"" + 0.030*""algorithms"" + 0.029*""data-engineering"" + 0.028*""young-makers"" + 0.019*""makerspaces"" + 0.017*""arduino"" + 0.016*""electronics"" + 0.016*""newtech"" + 0.015*""computer-programming""",1,hackers,design
72,"0.142*""cryptocurrency"" + 0.130*""bitcoin"" + 0.101*""digital-currency"" + 0.097*""blockchain"" + 0.079*""virtual-currency"" + 0.065*""ethereum"" + 0.064*""bitcoin-miners"" + 0.060*""newtech"" + 0.045*""cryptography"" + 0.042*""smart-contracts""",,,
73,"0.022*""women-entrepreneurs"" + 0.022*""business-entrepreneur-networking"" + 0.022*""technology-startups"" + 0.022*""app-developers"" + 0.022*""android"" + 0.022*""small-business-online-marketing"" + 0.022*""seo-search-engine-optimization"" + 0.022*""mobile-growth"" + 0.022*""growth-hacking"" + 0.022*""lectures""",,,
74,"0.138*""self-improvement"" + 0.080*""startup-businesses"" + 0.079*""professional-networking"" + 0.079*""business-strategy"" + 0.068*""entrepreneurship"" + 0.057*""prodev"" + 0.056*""innovation"" + 0.046*""leadership"" + 0.035*""self-empowerment"" + 0.033*""businessintell""",,,
75,"0.042*""mysql"" + 0.039*""php-framework"" + 0.024*""symfony2"" + 0.022*""real-estate-investors"" + 0.022*""women-business-networking"" + 0.022*""open-source-content-management"" + 0.021*""joomla"" + 0.020*""wordpress"" + 0.015*""cms"" + 0.015*""lampsoftware""",,,
