code_en,sector_spanish,code_es,sector_english,creative_nesta_2016,creative_refined,creative_sector,has_creative,code_int
611632,Escuelas de idiomas del sector público,611632,"Language schools, public sector",1.0,,music_performing_arts,1,611632
61169,Otros servicios educativosT,61169,Other educational servicesT,1.0,,music_performing_arts,1,61169
611691,Servicios de profesores particulares,611691,Private tutor services,1.0,,music_performing_arts,1,611691
611698,Otros servicios educativos proporcionados por el sector privado,611698,"Other educational services, private sector",1.0,,music_performing_arts,1,611698
611699,Otros servicios educativos proporcionados por el sector público,611699,"Other educational services, public sector",1.0,,music_performing_arts,1,611699
7111,Compañías y grupos de espectáculos artísticos y culturalesT,7111,Performing arts companies and groupsT,1.0,1.0,music_performing_arts,1,7111
71111,Compañías de teatroT,71111,Theater companiesT,1.0,1.0,music_performing_arts,1,71111
711111,Compañías de teatro del sector privado,711111,"Theater companies, private sector",1.0,1.0,music_performing_arts,1,711111
711112,Compañías de teatro del sector público,711112,"Theater companies, public sector",1.0,1.0,music_performing_arts,1,711112
71112,Compañías de danzaT,71112,Dance companiesT,1.0,1.0,music_performing_arts,1,71112
711121,Compañías de danza del sector privado,711121,"Dance companies, private sector",1.0,1.0,music_performing_arts,1,711121
711122,Compañías de danza del sector público,711122,"Dance companies, public sector",1.0,1.0,music_performing_arts,1,711122
71113,Cantantes y grupos musicalesT,71113,Singers and musical groupsT,1.0,1.0,music_performing_arts,1,71113
711131,Cantantes y grupos musicales del sector privado,711131,"Singers and musical groups, private sector",1.0,1.0,music_performing_arts,1,711131
711132,Grupos musicales del sector público,711132,"Singers and musical groups, public sector",1.0,1.0,music_performing_arts,1,711132
71119,Otras compañías y grupos de espectáculos artísticosT,71119,Other performing arts companies and groupsT,1.0,1.0,music_performing_arts,1,71119
711191,Otras compañías y grupos de espectáculos artísticos del sector privado,711191,"Other performing arts companies and groups, private sector",1.0,1.0,music_performing_arts,1,711191
711192,Otras compañías y grupos de espectáculos artísticos del sector público,711192,"Other performing arts companies and groups, public sector",1.0,1.0,music_performing_arts,1,711192
7112,Deportistas y equipos deportivos profesionalesT,7112,Professional athletes and sports teamsT,1.0,,music_performing_arts,1,7112
71121,Deportistas y equipos deportivos profesionalesT,71121,Professional athletes and sports teamsT,1.0,,music_performing_arts,1,71121
711211,Deportistas profesionales,711211,Professional athletes,1.0,,music_performing_arts,1,711211
711212,Equipos deportivos profesionales,711212,Professional sports teams,1.0,,music_performing_arts,1,711212
7113,"Promotores de espectáculos artísticos, culturales, deportivos y similaresT",7113,"Promoters of performing arts, sports and similar eventsT",1.0,1.0,music_performing_arts,1,7113
71131,"Promotores de espectáculos artísticos, culturales, deportivos y similares que cuentan con instalaciones para presentarlosT",71131,"Promoters of performing arts, sports and similar events with facilitiesT",1.0,1.0,music_performing_arts,1,71131
