,Unnamed: 0,code_en,sector_spanish,code_es,sector_english,creative_nesta_2016,creative_refined,creative_sector,has_creative,code_int
134,134,541930,Servicios de traducción e interpretación,541930,Translation and interpretation services,1.0,1.0,publishing,1,541930
135,135,54199,"Otros servicios profesionales, científicos y técnicosT",54199,"Other professional, scientific and technical servicesT",1.0,1.0,publishing,1,54199
136,136,541990,"Otros servicios profesionales, científicos y técnicos",541990,"Other professional, scientific and technical services",1.0,1.0,publishing,1,541990
137,137,61161,Escuelas de arteT,61161,Fine arts schoolsT ,1.0,1.0,music_performing_arts,1,61161
138,138,611611,Escuelas de arte del sector privado,611611,"Fine arts schools, private sector ",1.0,1.0,music_performing_arts,1,611611
139,139,611612,Escuelas de arte del sector público,611612,"Fine arts schools, public sector ",1.0,1.0,music_performing_arts,1,611612
140,140,61162,Escuelas de deporteT,61162,Sports schoolsT,1.0,,music_performing_arts,1,61162
141,141,611621,Escuelas de deporte del sector privado,611621,"Sports schools, private sector",1.0,,music_performing_arts,1,611621
142,142,611622,Escuelas de deporte del sector público,611622,"Sports schools, public sector",1.0,,music_performing_arts,1,611622
143,143,61163,Escuelas de idiomasT,61163,Language schoolsT,1.0,,music_performing_arts,1,61163
144,144,611631,Escuelas de idiomas del sector privado,611631,"Language schools, private sector",1.0,,music_performing_arts,1,611631
145,145,611632,Escuelas de idiomas del sector público,611632,"Language schools, public sector",1.0,,music_performing_arts,1,611632
146,146,61169,Otros servicios educativosT,61169,Other educational servicesT,1.0,,music_performing_arts,1,61169
147,147,611691,Servicios de profesores particulares,611691,Private tutor services,1.0,,music_performing_arts,1,611691
148,148,611698,Otros servicios educativos proporcionados por el sector privado,611698,"Other educational services, private sector",1.0,,music_performing_arts,1,611698
149,149,611699,Otros servicios educativos proporcionados por el sector público,611699,"Other educational services, public sector",1.0,,music_performing_arts,1,611699
150,150,7111,Compañías y grupos de espectáculos artísticos y culturalesT,7111,Performing arts companies and groupsT,1.0,1.0,music_performing_arts,1,7111
151,151,71111,Compañías de teatroT,71111,Theater companiesT,1.0,1.0,music_performing_arts,1,71111
152,152,711111,Compañías de teatro del sector privado,711111,"Theater companies, private sector",1.0,1.0,music_performing_arts,1,711111
153,153,711112,Compañías de teatro del sector público,711112,"Theater companies, public sector",1.0,1.0,music_performing_arts,1,711112
154,154,71112,Compañías de danzaT,71112,Dance companiesT,1.0,1.0,music_performing_arts,1,71112
