,id,name,creative_sector,employee_sizeband,website
66801,872861,3A COMUNICACIÓN,advertising_marketing,0 a 5 personas,WWW.3ACOMUNICACION.COM
66811,875358,AGENCIA DE MARKETING ORBETECH,advertising_marketing,0 a 5 personas,WWW.ORBETECH.COM
66833,863305,"BEPISH, S.A. DE C.V.",advertising_marketing,6 a 10 personas,WWW.BEPISH.NET
66844,847631,"CENTRO DE INVESTIGACIÓN CAPACITACIÓN Y DOCUMENTACIÓN DE LA SOCIEDAD DE ARQUITECTOS MEXICANOS, A.C.",advertising_marketing,6 a 10 personas,WWW.CAMSAM.COM
66863,872718,DECORA EN VINYL,advertising_marketing,6 a 10 personas,WWW.DECORAENVINIL.COM.MX
66865,691032,DELTA GROUP,advertising_marketing,11 a 30 personas,WWW.DELTAGROUPMX.COM
66867,874719,DEVAS MÉXICO,advertising_marketing,0 a 5 personas,WWW.DEVASMEXICO.COM
66884,660147,"EL TALLER DE LOS TIPITOS, S.A. DE C.V.",advertising_marketing,31 a 50 personas,WWW.TIPITOS.COM
66887,970769,"EMPRESA DE PUBLICIDAD PRECISA COMUNICACIÓN, S.A. DE C.V.",advertising_marketing,6 a 10 personas,WWW.PRECISA.COM.MX
66892,706884,ESCENOGRAFÍA SIN NOMBRE,advertising_marketing,6 a 10 personas,WWW.EXPRESATUSIDEAS.COM.MX
66894,859602,ESPACIO CREATIVO,advertising_marketing,11 a 30 personas,WWW.ESPACIOCREATIVO.COM.MX
66901,763687,"EXPO PARK, S.A. DE C.V.",advertising_marketing,6 a 10 personas,WWW.EXPOPACK.COM.MX
66903,872001,"EXPRESIÓN, S.A. DE C.V.",advertising_marketing,11 a 30 personas,WWW.EXPRESION.MX
66904,729521,FABRICA DE PUNTOS DE VENTA,advertising_marketing,6 a 10 personas,WWW.EFIMERA.COM.MX
66906,871908,"FAKTOR VISUAL, S.A. DE CV",advertising_marketing,11 a 30 personas,WWW.FAKTORVISUAL.MX
66909,874522,"FENOMENO VFX FILMS, S. DE R.L. DE C.V.",advertising_marketing,0 a 5 personas,WWW.FENOMENO.COM.MX
66911,932021,FRERASO,advertising_marketing,0 a 5 personas,WWW.FRERASO.COM.MX
66912,6862596,FUSION PROMOCIONES,advertising_marketing,251 y más personas,WWW.FUSIONPROMOCIONES.COM
66914,6860439,GLOBAL SALES SOLUTIONS LINE MEXICO,advertising_marketing,0 a 5 personas,WWW.GRUPOGSS.COM
66930,932703,GRUPO IMPACTO INTERNACIONAL 360,advertising_marketing,11 a 30 personas,WWW.DII360.COM.MX
66936,1052870,"GRUPO RILEDO, S.A. DE C.V.",advertising_marketing,6 a 10 personas,WWW.RICALL.COM.MX
66941,6865055,HOGARTH WORLDWIDE DE MEXICO,advertising_marketing,51 a 100 personas,WWW.HOGATRHWW.COM
66977,6308943,INNOVA PROMOCIONALES SA DE CV,advertising_marketing,31 a 50 personas,WWW.INNOVAPROMOCIONALES.COM
66978,6325257,INNOVA PROMOCIONALES SA DE CV TIENDA,advertising_marketing,6 a 10 personas,WWW.INNOVATION.COM.MX
66979,869267,INNOVACION GRÁFICA,advertising_marketing,11 a 30 personas,WWW.INNOVACIONGRAFICA.MX
66985,6858870,IPKON,advertising_marketing,11 a 30 personas,WWW.IPKON.COM.MX
66986,932572,IXI STUDIO,advertising_marketing,0 a 5 personas,WWW.IXISTUDIO.COM
66991,777298,"LA ESTRASTIENDA PUBLICIDAD, S. DE R.L.",advertising_marketing,0 a 5 personas,WWW.LATTP.COM
66998,867544,LOGO MAX DISEÑO Y REDISEÑO DE IDEAS,advertising_marketing,0 a 5 personas,WWW.LOGOMAX.COM.MX
66999,738548,"LONAS DISEÑOS Y PROYECTOS ESPECIALES, S.A. DE C.V.",advertising_marketing,0 a 5 personas,WWW.LONASDYPRE.COM.MX
67003,968146,LONAS SIN NOMBRE,advertising_marketing,6 a 10 personas,WWW.LONASC.COM.MX
67011,6856700,MARKET MIX,advertising_marketing,0 a 5 personas,WWW.MAKETMIX.COM.MX
67020,896402,METELE CAÑA,advertising_marketing,6 a 10 personas,WWW.HABLEMOS DE AZUCAR.COM.MX
67023,997712,MIRAMAR OUTSOURCING,advertising_marketing,11 a 30 personas,WWW.MIRAMAR-OUTSORSING.COM.MX
67025,870175,MOOTS COMUNICACIÓN,advertising_marketing,11 a 30 personas,WWW.MOOTSCOMUNICACION.COM.MX
67026,657138,MS GRAFICOS,advertising_marketing,0 a 5 personas,WWW.MSGRAFICOS.COM.MX
67028,1060531,"MULTIVISION AUDIOVISUAL, S.A. DE C.V.",advertising_marketing,11 a 30 personas,WWW.MULTIVISIONAUDIOVISUAL.COM.MX
67029,991575,MURAY ARQUITECTOS,advertising_marketing,11 a 30 personas,WWW.MURAYARQUITECTOS.COM.MX
67031,896014,"NINJA BRAND FIGHTRS, S.A. DE C.V.",advertising_marketing,0 a 5 personas,WWW.NINJA.COM.MX
67034,860024,ORANGE BEE,advertising_marketing,6 a 10 personas,WWW.ORANGEBEE.COM.MX
67035,892312,"ORGÓN PUBLICIDAD, S.A. DE C.V.",advertising_marketing,0 a 5 personas,WWW.ORGONPUBLICIDAD.COM.MX
67037,758748,"PECHE IMPRESIONES, S.A. DE C.V.",advertising_marketing,31 a 50 personas,WWW.PECHE.COM.MX
67038,969160,"PICASO PUBLICIDAD, S.A.",advertising_marketing,6 a 10 personas,PICASO.COM.MX
67042,690709,PLAYER GROUP MOVING BRANDS,advertising_marketing,31 a 50 personas,WWW.PLAYERGROUP.COM.MX
67047,951520,"PORTA, S.A. DE C.V.",advertising_marketing,11 a 30 personas,WWW.PORTA.COM.MX
67051,1021910,PRINT STOP,advertising_marketing,11 a 30 personas,WWW.PRINTSTOP.COM.MX
67069,871837,PUBLICIDAD EN ROTULOS,advertising_marketing,0 a 5 personas,WWW.PUBLICIDADENROTULOS.COM
67093,6858416,PUBLICITY ADGLOW MEXICO S DE RL DE CV,advertising_marketing,11 a 30 personas,WWW.ADLOW.COM
67094,847280,PUBLIMEX,advertising_marketing,0 a 5 personas,WWW.PUBLIMEX.COM.MX
67102,962453,RECREA PUBLICIDAD,advertising_marketing,11 a 30 personas,WWW.RECREAPUBLICIDAD.COM.MX
67112,875313,ROTULARTE DISEÑO Y PUBLICIDAD,advertising_marketing,0 a 5 personas,WWW.ROTULARTES.COM
67124,667823,ROTULOS ATENAS,advertising_marketing,0 a 5 personas,WWW.ATENASPUBLICIDAD.COM.MX
67156,753118,ROTULOS LEGARIA,advertising_marketing,0 a 5 personas,WWW.ROTULOSLEGARIA.COM.MX
67183,684476,RÓTULOS RAYÓN,advertising_marketing,0 a 5 personas,WWW.ROTULOSRAYON.MEX.TL
67249,871297,"ROTULOS Y DECORACIÓN, S.A. DE C.V.",advertising_marketing,0 a 5 personas,WWW.ROTULOSYDECORACION.COM.MX
67266,954481,RUVEL,advertising_marketing,0 a 5 personas,WWW.RUVELPROMOCIONALES.COM.MX
